,제목,URL,신문사,작성일,세부내용,url
35,‘예타 면제 확대’법 처리 연기… 與 “추가 논의”,,세계일보,2023.04.17,총선용 비판에 정치권 ‘속도조절’ 與 “재정준칙 법제화와 병행 추진” 이 와중에 기재위원들 유럽출장 與野 5명 18일 출국… 여론 ‘눈총’ ‘총선용 포퓰리즘’ 논란이 일고 있는 예비타당성조사(예타) 면제 기준 완화 ,https://n.news.naver.com/mnews/article/022/0003803378?sid=100
36,재정준칙 30개월째 표류중인데…기재위 의원들 7박9일 유럽출장,,뉴스1,2023.04.18,국회 기획재정위원회 위원들이 18일 7박9일 일정으로 유럽 출장을 떠난다. 국가 재정 건전성 유지를 위한 재정준칙 법제화는 30개월째 처리하지 않는 상황에서 해외 출장을 가는 것이 부적절하다는 지적이 나온다. 기재위,https://n.news.naver.com/mnews/article/421/0006753409?sid=100
37,`곳간 거덜난다` 비판에 밀린 여야…재정준칙 법제화 속도낸다,,이데일리,2023.04.17,여야가 수백억원 규모의 국가 재정 투입 사업에 대한 예비타당성조사(예타) 면제 기준을 완화하는 내용을 담은 국가재정법 개정안 처리를 연기했다. 대신 당초 계획대로 예타 면제 기준 완화와 재정준칙 법제화를 함께 논의하,https://n.news.naver.com/mnews/article/018/0005465930?sid=100
38,'예타 면제 완화법' 기재위 의결 연기… 與 '재정준칙' 재추진,,아시아경제,2023.04.17,도로와 공항 등 신규 공공투자사업의 경제 효과를 따지는 예비타당성조사(예타)의 면제 기준 완화를 골자로 한 국가재정법 개정안이 국회 상임위 문턱을 넘기 어려울 정망이다. 내년 국회의원 총선거를 앞두고 지역구 민원 해,https://n.news.naver.com/mnews/article/277/0005246418?sid=100
39,"'예타 완화' 제동…""김포골드라인 해결 서둘러야"" 지적도",,아이뉴스24,2023.04.17,여야가 대규모 재정사업의 예비타당성조사(예타) 면제 기준을 완화하기로 했다가 비판 여론에 직면하자 관련 법 처리를 연기하기로 했다. 총선을 1년 앞둔 포퓰리즘이라는 논란이 고조되자 여당이 먼저 속도 조절에 나서면서다,https://n.news.naver.com/mnews/article/031/0000741330?sid=100
40,"국회 기재위, 예타 완화법안 처리 연기…“추가 논의”",,KBS,2023.04.17,국회 기획재정위원회가 대규모 재정사업의 예비타당성조사(예타) 면제 기준을 완화하는 내용의 국가재정법 개정안 처리를 연기하기로 했습니다. 윤영석 국회 기재위원장은 오늘(17일) 오후 기재위 전체회의에서 예타 관련 개정,https://n.news.naver.com/mnews/article/056/0011467077?sid=100
41,"국회 기재위, 포퓰리즘 우려에 '예타 완화법' 처리 연기",,뉴시스,2023.04.17,"기사내용 요약 ""추가 논의 위해 오늘 상정하지 않기로"" 국회 기획재정위원회는 17일 대규모 국가 재정이 투입되는 사업의 예비타당성 조사(예타) 요건을 완화하기 위한 일명 '예타 완화법'을 상정하지 않으며 처리를 연기",https://n.news.naver.com/mnews/article/003/0011807809?sid=100
42,'총선용 포퓰리즘' 비판 여론… 與 '예타 면제 완화' 처리 잠정 연기키로,,대전일보,2023.04.17,대규모 국가 재정 사업의 예비타당성 조사(예타)의 면제 기준을 완화하려는 국가재정법 개정안 처리가 17일 여야의 합의로 연기됐다. 당초 여야는 기재위 경제재정소위에서 만장일치로 개정안을 의결했으나 총선을 앞둔 '포퓰,https://n.news.naver.com/mnews/article/656/0000048210?sid=100
43,'총선용 포퓰리즘' 비판에… 與 '예타 면제 완화' 연기 전망,,한국일보,2023.04.16,국민의힘이 대규모 재정사업의 추진 여부를 가늠하는 예비타당성조사(예타) 면제 기준을 완화하는 법안 처리를 잠정 연기하기로 했다. 여야가 국가 재정 건전성 유지를 위한 재정준칙 도입을 미루고 예타 면제 기준만 완화하려,https://n.news.naver.com/mnews/article/469/0000734414?sid=100
44,"‘총선 포퓰리즘’ 논란에…與, ‘예타 완화법’ 기재위 처리 잠정 연기",,조선비즈,2023.04.17,與 기재위 간사 류성걸 “불필요한 오해 있어 좀 더 시간 갖고 검토” 국민의힘이 수백억원의 국가 재정이 투입되는 사회간접자본(SOC) 사업에 대한 ‘예비타당성조사(예타)’ 면제 기준을 완화하는 내용의 국가재정법 개정,https://n.news.naver.com/mnews/article/366/0000894025?sid=100
