title,showTm,grade,peopleNm,sale,audi,screen,staff_cnt,star_grade,direc_grade,ott_num,month,weight_y,actor_cnt,distributor,percentage,search
동네사람들,99,15세이상,임진순,10526683986,1261511,1711,199,5.4,5,4,11,0.293613,2,리틀빅픽처스,6.222222222,10
성난황소,115,15세이상,김민호,47135955547,5616663,3259,395,6.3,7,4,11,0.293613,3,리틀빅픽처스,6.222222222,1401
도어락,102,15세이상,이권,44263719668,5376917,2838,263,6.1,7,2,12,0.647057,1,플러스엠 엔터테인먼트 PLUSM entertainment,8.888888889,1470
번 더 스테이지: 더 무비,82,전체관람가,박준수,9853862800,1161064,603,51,9.2,5,1,11,0.293613,8,월트 디즈니 컴퍼니 코리아,0.888888889,1721
브링 더 소울 : 더 무비,101,전체관람가,박준수,8077823190,935389,1152,1,9.1,5,1,8,1,8,월트 디즈니 컴퍼니 코리아,0.888888889,1129
내안의 그놈,122,15세이상,김유성,1.02E+11,11946042,3693,251,7.6,4,3,1,0.540513,3,㈜메리크리스마스,0.888888889,537
번개맨의 비밀,68,전체관람가,강유선,675633950,85912,489,172,6,3,3,12,0.647057,2,(주)디스테이션,0.444444444,10
런닝맨 : 풀룰루의 역습,66,전체관람가,윤준상,5166269400,678144,1053,176,5.9,4,1,12,0.647057,6,(주)NEW,12.88888889,2005
PMC: 더 벙커,124,15세이상,김병우,50021058109,5978115,2979,572,5.3,7,3,12,0.647057,2,CJ 엔터테인먼트,20.88888889,1449
점박이 한반도의 공룡2 : 새로운 낙원,93,전체관람가,한상호,15331641350,1955645,1697,490,8.4,5,1,12,0.647057,3,(주)NEW,12.88888889,10
뺑반,133,15세이상,한준희,52632358281,6351393,3193,540,6.3,8,4,1,0.540513,3,㈜쇼박스 Showbox Inc.,9.333333333,1675
자전차왕 엄복동,116,12세이상,김상철,5055955260,667624,1161,433,4.6,1,2,2,0.868964,3,㈜셀트리온엔터테인먼트,1.333333333,1993
가슴 큰 여자친구,71,18세이상,준세,978000,189,20,0,6.6,1,1,3,0.250894,4,㈜셀트리온엔터테인먼트,1.333333333,1293
악질경찰,127,18세이상,이정범,8379152642,968506,1835,364,8,4,2,3,0.250894,4,㈜셀트리온엔터테인먼트,1.333333333,2257
나의 특별한 형제,113,12세이상,육상효,76251323844,9311376,3078,387,8.6,7,3,5,0.311886,3,(주)NEW,12.88888889,1019
크게 될 놈,108,15세이상,강지은,4264180770,548838,1025,173,8.4,3,1,4,0.179928,2,(주)NEW,12.88888889,1743
왓칭,97,15세이상,김성기,1323944786,157514,945,175,4.9,3,3,4,0.179928,2,리틀빅픽처스,6.222222222,1697
어린 의뢰인,114,12세이상,장규성,9719700280,1171472,1477,261,8.8,4,3,5,0.311886,4,롯데컬처웍스(주)롯데엔터테인먼트,8.444444444,1365
걸캅스,107,15세이상,정다원,97798255922,11484261,3595,434,6.6,8,4,5,0.311886,2,CJ 엔터테인먼트,20.88888889,10
배심원들,113,12세이상,홍승완,15393381710,1915902,1911,221,8.8,5,1,5,0.311886,2,CGV아트하우스,5.333333333,1065
0.0MHz,101,15세이상,유선동,2990338730,377542,870,215,5,4,2,5,0.311886,5,CGV아트하우스,5.333333333,1398
나랏말싸미,109,전체관람가,조철현,45422111608,5510504,2459,422,4.6,6,2,7,0.453727,3,플러스엠 엔터테인먼트 PLUSM entertainment,8.888888889,1893
암전,85,15세이상,김진원,2654068065,299111,829,206,5.2,3,3,8,1,2,TCO(주)더콘텐츠온,0.888888889,1519
광대들: 풍문조작단,108,12세이상,김주호,13844140754,1668670,1984,394,6.5,6,1,8,1,7,워너브러더스 코리아㈜,3.555555556,1440
두번할까요,112,15세이상,박용집,5479152780,657932,1415,336,5.2,4,2,10,0.461286,3,리틀빅픽처스,6.222222222,10
82년생 김지영,118,12세이상,김도영,2.36E+11,28604514,6472,359,6.7,9,4,10,0.461286,2,롯데컬처웍스(주)롯데엔터테인먼트,8.444444444,2482
마당을 나온 암탉,93,전체관람가,오성윤,14679429000,2203601,2000,329,8.9,1,1,7,0.453727,4,롯데컬처웍스(주)롯데엔터테인먼트,8.444444444,2009
블랙머니,113,12세이상,정지영,1.48E+11,17509294,4588,390,9.1,8,3,11,0.293613,2,(주)에이스메이커무비웍스,1.333333333,1388
신의 한 수: 귀수편,106,15세이상,리건,1.17E+11,13621235,4270,431,6.8,8,3,11,0.293613,7,CJ 엔터테인먼트,20.88888889,1434
감쪽같은 그녀,104,전체관람가,허인무,16514278010,2155572,2174,300,8.2,5,3,12,0.647057,2,플러스엠 엔터테인먼트 PLUSM entertainment,8.888888889,1387
몬테크리스토,132,12세이상,이동원,12082000,955,14,32,9.2,2,1,11,0.293613,1,플러스엠 엔터테인먼트 PLUSM entertainment,8.888888889,1546
나를 찾아줘,107,15세이상,김승우,18850346780,2372112,2209,333,6.6,6,2,11,0.293613,2,워너브러더스 코리아㈜,3.555555556,2253
시동,101,15세이상,최정열,55065299520,6519290,3540,479,7.7,8,1,12,0.647057,5,(주)NEW,12.88888889,744
해치지않아,117,12세이상,손재곤,197541000,23332,79,474,6.5,2,4,1,0.540513,6,(주)에이스메이커무비웍스,1.333333333,10
