순위,영화명,개봉일,매출액 ,매출액 점유율,관객수,스크린수,대표국적,국적,배급사
74,구타유발자들,2006-05-31,0,0.0%,"164,606",32,한국,한국,(주)프라임엔터테인먼트
75,연리지,2006-04-13,0,0.0%,"136,088",43,한국,한국,(주)쇼박스
76,마이 캡틴 김대출,2006-04-20,0,0.0%,"122,098",41,한국,한국,(주)스튜디오이쩜영
77,카리스마 탈출기,2006-03-30,0,0.0%,"102,742",30,한국,한국,CJ ENM
78,무도리,2006-09-21,0,0.0%,"70,969",34,한국,한국,CJ ENM
79,2월 29일 - 어느날 갑자기 첫번째 이야기,2006-07-21,0,0.0%,"56,958",11,한국,한국,CJ ENM
80,썬데이 서울,2006-02-09,0,0.0%,"46,239",19,한국,한국,(주)시네마서비스
81,네번째 층 - 어느날 갑자기 두번째 이야기,2006-07-27,0,0.0%,"31,654",7,한국,한국,CJ ENM
82,폭력써클,2006-10-19,0,0.0%,"29,110",29,한국,한국,(주)쇼박스
83,사이에서,2006-09-07,0,0.0%,"24,595",4,한국,한국,"필름메신저,씨제이 씨지브이(CJ CGV)(주)"
84,D-day-어느날 갑자기 세번째 이야기,2006-08-03,0,0.0%,"19,488",3,한국,한국,CJ ENM
85,다섯 개의 시선,2006-01-13,0,0.0%,"12,621",4,한국,한국,CJ ENM
87,"모두들, 괜찮아요?",2006-03-24,0,0.0%,"4,703",8,한국,한국,CJ ENM
88,죽음의 숲-어느날 갑자기 네번째 이야기,2006-08-17,0,0.0%,"3,241",2,한국,한국,CJ ENM
89,망종,2006-03-24,0,0.0%,"2,871",2,한국,"한국,중국",(주)동숭아트센터
90,피터팬의 공식,2006-04-13,0,0.0%,"2,536",2,한국,한국,CJ ENM
91,호박전,2006-06-22,0,0.0%,"1,651",1,한국,한국,서울애니메이션센터
92,눈부신 하루,2006-02-23,0,0.0%,"1,630",1,한국,한국,"영화진흥위원회,아트플러스시네마네트워크"
93,신성일의 행방불명,2006-02-16,0,0.0%,"1,508",1,한국,한국,스폰지
94,달려라 장미,2006-02-10,0,0.0%,881,1,한국,한국,(주)이모션픽처스
95,브레인웨이브,2006-08-31,0,0.0%,502,1,한국,한국,CJ ENM
96,창공으로,2006-04-21,0,0.0%,25,2,한국,한국,㈜트라이엄프픽쳐스
1,디워,2007-08-01,0,0.0%,"8,426,973",148,한국,한국,(주)쇼박스
2,화려한 휴가,2007-07-25,0,0.0%,"7,307,993",116,한국,한국,CJ ENM
3,그놈 목소리,2007-02-01,0,0.0%,"3,143,247",110,한국,한국,CJ ENM
5,식객,2007-11-01,0,0.0%,"3,037,690",88,한국,한국,CJ ENM
6,1번가의 기적,2007-02-14,0,0.0%,"2,750,457",80,한국,한국,CJ ENM
7,극락도 살인사건,2007-04-12,0,0.0%,"2,259,511",85,한국,한국,"(주)엠케이픽처스 ,(주)두엔터테인먼트"
8,바르게 살자,2007-10-18,0,0.0%,"2,190,250",79,한국,한국,CJ ENM
9,사랑,2007-09-19,0,0.0%,"2,123,815",78,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
10,세븐 데이즈,2007-11-14,0,0.0%,"2,108,439",297,한국,한국,(주)프라임엔터테인먼트
11,바람피기 좋은 날,2007-02-08,0,0.0%,"1,847,875",95,한국,한국,(주)시네마서비스
12,색즉시공 시즌2,2007-12-12,0,0.0%,"1,787,119",89,한국,한국,CJ ENM
13,권순분여사 납치사건,2007-09-12,0,0.0%,"1,619,190",86,한국,한국,(주)시네마서비스
14,복면달호,2007-02-14,0,0.0%,"1,611,192",64,한국,한국,㈜스튜디오이쩜영
15,마파도2,2007-01-18,0,0.0%,"1,560,297",66,한국,한국,CJ ENM
16,궁녀,2007-10-18,0,0.0%,"1,438,531",83,한국,한국,(주)시네마서비스
17,검은 집,2007-06-21,0,0.0%,"1,408,882",71,한국,한국,CJ ENM
18,허브,2007-01-11,0,0.0%,"1,406,199",57,한국,한국,(주)쇼박스
19,만남의 광장,2007-08-15,0,0.0%,"1,306,434",52,한국,한국,(주)쇼박스
20,못말리는 결혼,2007-05-10,0,0.0%,"1,304,431",70,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
21,최강로맨스,2007-01-25,0,0.0%,"1,299,274",51,한국,한국,(주)쇼박스
22,황진이,2007-06-06,0,0.0%,"1,270,644",106,한국,한국,(주)시네마서비스
23,이장과 군수,2007-03-29,0,0.0%,"1,269,142",65,한국,한국,CJ ENM
24,즐거운 인생,2007-09-13,0,0.0%,"1,263,835",82,한국,한국,CJ ENM
25,행복,2007-10-03,0,0.0%,"1,239,789",89,한국,한국,(주)쇼박스
26,지금 사랑하는 사람과 살고 있습니까?,2007-08-15,0,0.0%,"1,095,119",76,한국,한국,(주)시네마서비스
28,우아한 세계,2007-04-05,0,0.0%,"1,025,781",103,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
