,title,moviecode,openDt
1916,"힘을 내요, 미스터 리",20187322,2019-09-11
1917,타짜: 원 아이드 잭,20184572,2019-09-11
1918,집으로...,20020061,2002-04-04
1921,극장판 헬로카봇 : 달나라를 구해줘!,20193821,2019-09-04
1929,나쁜 녀석들: 더 무비,20188750,2019-09-11
1936,극장판 반지의 비밀일기,20194045,2019-09-11
1944,퍼펙트맨,20184483,2019-10-02
1948,장사리 : 잊혀진 영웅들,20193601,2019-09-25
1952,양자물리학,20194456,2019-09-25
1957,가장 보통의 연애,20195920,2019-10-02
1975,두번할까요,20185361,2019-10-17
1985,82년생 김지영,20191029,2019-10-23
1988,마당을 나온 암탉,20110279,2011-07-28
1997,신세계,20124401,2013-02-21
2002,블랙머니,20195002,2019-11-13
2003,신의 한 수: 귀수편,20181434,2019-11-07
2023,감쪽같은 그녀,20188462,2019-12-04
2027,몬테크리스토,20199435,2019-11-14
2029,암행어사와 흑두건,20172585, 
2033,얼굴없는 보스,20184341,2019-11-21
2038,제 15회 성균관대학교 영상학과 졸업영상제 TeenScreen,20190636, 
2040,나를 찾아줘,20185161,2019-11-27
2046,웃는남자 감독판,20190385,2019-11-29
2056,신비아파트 극장판 하늘도깨비 대 요르문간드,20198374,2019-12-19
2057,아직 사랑하고 있습니까?,20194621,2019-12-04
2061,시동,20198414,2019-12-18
2069,무뢰한,20130566,2015-05-27
2070,백두산,20192206,2019-12-19
2074,천문: 하늘에 묻는다,20184571,2019-12-26
2094,해치지않아,20183002,2020-01-15
