title,showTm,grade,peopleNm,sale,audi,screen,staff_cnt,star_grade,direc_grade,ott_num,month
국제시장,126,12세이상관람가,윤제균,1.11E+11,14262766,3500,548,7.1,10,4,12
내 엄마의 친구,80,청소년관람불가,이진명,1292000,239,20,9,10,1,1,5
정사 : 아내의 친구,70,청소년관람불가,조태호,758000,128,20,36,1,1,1,5
허스토리,120,12세이상관람가,민규동,18635967492,2489393,1797,247,9,6,1,6
변산,122,15세이상관람가,이창재,18254091815,2214544,2025,379,8.4,8,3,7
여중생A,114,12세이상관람가,이경섭,3707357500,444205,1074,172,7.9,4,3,6
속닥속닥,91,15세이상관람가,최상훈,5223901300,594833,710,112,3.9,4,3,7
신비아파트: 금빛 도깨비와 비밀의 동굴,67,전체관람가,김병갑,26942931000,3642183,2011,190,7.6,6,1,7
해적왕 작스톰,81,전체관람가,필립 귀엔,80059900,10030,128,0,7.8,2,1,7
공작,137,12세이상관람가,윤종빈,2.63E+11,30550000,5202,465,8.4,10,4,8
너의 결혼식,110,12세이상관람가,이석근,1.64E+11,19459167,4373,241,7.4,9,4,8
상류사회,119,청소년관람불가,변혁,28944538265,3521392,2460,307,4.1,6,4,8
꽃찌: 독이 있는 사랑,87,청소년관람불가,김문옥,2286000,1133,3,40,9.9,1,1,8
미친도시,124,15세이상관람가,장태령,23671000,3128,7,31,9,2,1,8
물괴,105,15세이상관람가,허종호,29436443870,3480628,2530,729,5.3,6,3,9
명당,126,12세이상관람가,박희곤,1.13E+11,13138419,3282,441,6.7,8,4,9
극장판 뽀잉: 슈퍼 변신의 비밀,72,전체관람가,정미화,981119500,126688,618,139,9.7,2,2,9
원더풀 고스트,96,12세이상관람가,조원희,17945045400,2168325,2000,188,7.6,5,1,9
창궐,121,15세이상관람가,이성관,61271159424,7323071,3602,581,5.7,1,2,10
완벽한 타인,115,15세이상관람가,이재규,3.4E+11,40529601,6672,451,7.5,10,4,10
동네사람들,99,15세이상관람가,임진순,10526683986,1261511,1711,199,5.4,5,4,11
성난황소,115,15세이상관람가,김민호,47135955547,5616663,3259,395,6.3,7,4,11
도어락,102,15세이상관람가,이권,44263719668,5376917,2838,263,6.1,7,2,12
번 더 스테이지: 더 무비,82,전체관람가,박준수,9853862800,1161064,603,51,9.2,5,1,11
브링 더 소울 : 더 무비,101,전체관람가,박준수,8077823190,935389,1152,1,9.1,5,1,8
내안의 그놈,122,15세이상관람가,김유성,1.02E+11,11946042,3693,251,7.6,4,3,1
번개맨의 비밀,68,전체관람가,강유선,675633950,85912,489,172,6,3,3,12
런닝맨 : 풀룰루의 역습,66,전체관람가,윤준상,5166269400,678144,1053,176,5.9,4,1,12
PMC: 더 벙커,124,15세이상관람가,김병우,50021058109,5978115,2979,572,5.3,7,3,12
점박이 한반도의 공룡2 : 새로운 낙원,93,전체관람가,한상호,15331641350,1955645,1697,490,8.4,5,1,12
뺑반,133,15세이상관람가,한준희,52632358281,6351393,3193,540,6.3,8,4,1
자전차왕 엄복동,116,12세이상관람가,김상철,5055955260,667624,1161,433,4.6,1,2,2
가슴 큰 여자친구,71,청소년관람불가,준세,978000,189,20,0,6.6,1,1,3
악질경찰,127,청소년관람불가,이정범,8379152642,968506,1835,364,8,4,2,3
나의 특별한 형제,113,12세이상관람가,육상효,76251323844,9311376,3078,387,8.6,7,3,5
크게 될 놈,108,15세이상관람가,강지은,4264180770,548838,1025,173,8.4,3,1,4
왓칭,97,15세이상관람가,김성기,1323944786,157514,945,175,4.9,3,3,4
어린 의뢰인,114,12세이상관람가,장규성,9719700280,1171472,1477,261,8.8,4,3,5
걸캅스,107,15세이상관람가,정다원,97798255922,11484261,3595,434,6.6,8,4,5
배심원들,113,12세이상관람가,홍승완,15393381710,1915902,1911,221,8.8,5,1,5
0.0MHz,101,15세이상관람가,유선동,2990338730,377542,870,215,5,4,2,5
나랏말싸미,109,전체관람가,조철현,45422111608,5510504,2459,422,4.6,6,2,7
암전,85,15세이상관람가,김진원,2654068065,299111,829,206,5.2,3,3,8
광대들: 풍문조작단,108,12세이상관람가,김주호,13844140754,1668670,1984,394,6.5,6,1,8
두번할까요,112,15세이상관람가,박용집,5479152780,657932,1415,336,5.2,4,2,10
82년생 김지영,118,12세이상관람가,김도영,2.36E+11,28604514,6472,359,6.7,9,4,10
마당을 나온 암탉,93,전체관람가,오성윤,14679429000,2203601,2000,329,8.9,1,1,7
블랙머니,113,12세이상관람가,정지영,1.48E+11,17509294,4588,390,9.1,8,3,11
신의 한 수: 귀수편,106,15세이상관람가,리건,1.17E+11,13621235,4270,431,6.8,8,3,11
감쪽같은 그녀,104,전체관람가,허인무,16514278010,2155572,2174,300,8.2,5,3,12
몬테크리스토,132,12세이상관람가,이동원,12082000,955,14,32,9.2,2,1,11
나를 찾아줘,107,15세이상관람가,김승우,18850346780,2372112,2209,333,6.6,6,2,11
시동,101,15세이상관람가,최정열,55065299520,6519290,3540,479,7.7,8,1,12
해치지않아,117,12세이상관람가,손재곤,197541000,23332,79,474,6.5,2,4,1
